Element Type: DimNode 0, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-90.31, -24.85, 0.00), (-90.29, -24.84, 0.00)], Position: (-90.30, -24.85), Info String: Dim Node 0
Element Type: DimNode 205, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: C4435A67-D8B7-41EA-B85D-544CE5F0F6C3, Text: 584, Length: 5.84, DimNode 205 Bounding Box: [(-35.92, -21.26, 0.00), (-35.91, -21.25, 0.00)], Position: (-35.91, -21.26), Info String: Dim Node 205
Element Type: DimNode 206, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: C4435A67-D8B7-41EA-B85D-544CE5F0F6C3, Text: 15, Length: 0.15, DimNode 206 Bounding Box: [(-35.92, -21.11, 0.00), (-35.91, -21.10, 0.00)], Position: (-35.91, -21.11), Info String: Dim Node 206
Element Type: DimNode 207, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: 12C96008-B51B-4142-A3DF-6A4EC9F5F930, Text: 241, Length: 2.41, DimNode 207 Bounding Box: [(-35.92, -18.70, 0.00), (-35.91, -18.69, 0.00)], Position: (-35.91, -18.70), Info String: Dim Node 207
Element Type: DimNode 208, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: 12C96008-B51B-4142-A3DF-6A4EC9F5F930, Text: 20, Length: 0.20, DimNode 208 Bounding Box: [(-35.92, -18.50, 0.00), (-35.91, -18.50, 0.00)], Position: (-35.91, -18.50), Info String: Dim Node 208
Element Type: DimNode 209, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: BB67BD93-3FDE-4652-AFCB-7055893B3751, Text: 130, Length: 1.30, DimNode 209 Bounding Box: [(-35.92, -17.20, 0.00), (-35.91, -17.19, 0.00)], Position: (-35.91, -17.20), Info String: Dim Node 209
Element Type: DimNode 210, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: BB67BD93-3FDE-4652-AFCB-7055893B3751, Text: 20, Length: 0.20, DimNode 210 Bounding Box: [(-35.92, -17.00, 0.00), (-35.91, -17.00, 0.00)], Position: (-35.91, -17.00), Info String: Dim Node 210
Element Type: DimNode 211, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: F6743B4C-EC80-4F90-BA4A-A44362464A0A, Text: 125, Length: 1.25, DimNode 211 Bounding Box: [(-35.92, -15.76, 0.00), (-35.91, -15.74, 0.00)], Position: (-35.91, -15.75), Info String: Dim Node 211
Element Type: DimNode 212, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: F6743B4C-EC80-4F90-BA4A-A44362464A0A, Text: 15, Length: 0.15, DimNode 212 Bounding Box: [(-35.92, -15.61, 0.00), (-35.91, -15.60, 0.00)], Position: (-35.91, -15.60), Info String: Dim Node 212
Element Type: DimNode 213, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: 113F86EE-1D1A-4931-AC5B-00DC0D04B480, Text: 550, Length: 5.50, DimNode 213 Bounding Box: [(-35.92, -10.10, 0.00), (-35.91, -10.10, 0.00)], Position: (-35.91, -10.10), Info String: Dim Node 213
Element Type: DimNode 214, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: 113F86EE-1D1A-4931-AC5B-00DC0D04B480, Text: 15, Length: 0.15, DimNode 214 Bounding Box: [(-35.92, -9.95, 0.00), (-35.91, -9.94, 0.00)], Position: (-35.91, -9.95), Info String: Dim Node 214
Element Type: DimNode 215, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: EB7F42A3-2F3D-468A-A3C6-F76E8CD5AAC3, Text: 265, Length: 2.65, DimNode 215 Bounding Box: [(-35.92, -7.30, 0.00), (-35.91, -7.30, 0.00)], Position: (-35.91, -7.30), Info String: Dim Node 215
Element Type: DimNode 216, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: EB7F42A3-2F3D-468A-A3C6-F76E8CD5AAC3, Text: 20, Length: 0.20, DimNode 216 Bounding Box: [(-35.92, -7.11, 0.00), (-35.91, -7.09, 0.00)], Position: (-35.91, -7.10), Info String: Dim Node 216
Element Type: DimNode 217, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 710, Length: 7.10, DimNode 217 Bounding Box: [(-35.92, -0.01, 0.00), (-35.91, 0.00, 0.00)], Position: (-35.91, -0.00), Info String: Dim Node 217
Element Type: Dimension, GUID: ACA44833-D537-45E7-8EE0-315E954DAC69, Dimension Bounding Box: [(-36.01, -28.06, 0.20), (-35.82, 0.06, 0.20)], Length: 28.00, Info String: Dim 9
Element Type: DimNode 218, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 3BEA1242-DF8A-4320-B03F-4F84DD911963, Text: 0, Length: 0.00, DimNode 218 Bounding Box: [(-26.40, -28.00, 0.00), (-26.40, -28.00, 0.00)], Position: (-26.40, -28.00), Info String: Dim Node 218
Element Type: DimNode 219, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 50, Length: 0.50, DimNode 219 Bounding Box: [(-26.40, -27.50, 0.00), (-26.40, -27.50, 0.00)], Position: (-26.40, -27.50), Info String: Dim Node 219
Element Type: DimNode 220, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 800998D1-C1B6-4C92-9AD5-F5058A08163B, Text: 170, Length: 1.70, DimNode 220 Bounding Box: [(-26.40, -25.81, 0.00), (-26.40, -25.80, 0.00)], Position: (-26.40, -25.80), Info String: Dim Node 220
Element Type: DimNode 221, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 119E8D67-272C-414E-949C-AF802C8DCF6B, Text: 20, Length: 0.20, DimNode 221 Bounding Box: [(-26.40, -25.60, 0.00), (-26.40, -25.59, 0.00)], Position: (-26.40, -25.60), Info String: Dim Node 221
Element Type: DimNode 222, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 455, Length: 4.55, DimNode 222 Bounding Box: [(-26.40, -21.06, 0.00), (-26.40, -21.05, 0.00)], Position: (-26.40, -21.05), Info String: Dim Node 222
Element Type: DimNode 223, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 223 Bounding Box: [(-26.40, -20.95, 0.00), (-26.40, -20.94, 0.00)], Position: (-26.40, -20.95), Info String: Dim Node 223
Element Type: DimNode 224, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 155, Length: 1.55, DimNode 224 Bounding Box: [(-26.40, -19.41, 0.00), (-26.40, -19.40, 0.00)], Position: (-26.40, -19.40), Info String: Dim Node 224
Element Type: DimNode 225, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 225 Bounding Box: [(-26.40, -19.31, 0.00), (-26.40, -19.30, 0.00)], Position: (-26.40, -19.30), Info String: Dim Node 225
Element Type: DimNode 226, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 0E768E67-1B5E-406C-8D3A-8A46A4B7F7EE, Text: 75, Length: 0.75, DimNode 226 Bounding Box: [(-26.40, -18.56, 0.00), (-26.40, -18.55, 0.00)], Position: (-26.40, -18.55), Info String: Dim Node 226
Element Type: DimNode 227, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 5, Length: 0.05, DimNode 227 Bounding Box: [(-26.40, -18.50, 0.00), (-26.40, -18.50, 0.00)], Position: (-26.40, -18.50), Info String: Dim Node 227
Element Type: Dimension, GUID: 125376D7-3185-41B9-8D25-2159AF5311CC, Dimension Bounding Box: [(-26.49, -28.06, 0.20), (-26.31, -18.44, 0.20)], Length: 9.50, Info String: Dim 10
Element Type: DimNode 228, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 3BEA1242-DF8A-4320-B03F-4F84DD911963, Text: 0, Length: 0.00, DimNode 228 Bounding Box: [(-3.10, -28.00, 0.00), (-3.09, -28.00, 0.00)], Position: (-3.10, -28.00), Info String: Dim Node 228
Element Type: DimNode 229, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 50, Length: 0.50, DimNode 229 Bounding Box: [(-3.10, -27.50, 0.00), (-3.09, -27.50, 0.00)], Position: (-3.10, -27.50), Info String: Dim Node 229
Element Type: DimNode 230, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 170, Length: 1.70, DimNode 230 Bounding Box: [(-3.10, -25.81, 0.00), (-3.09, -25.80, 0.00)], Position: (-3.10, -25.80), Info String: Dim Node 230
Element Type: DimNode 231, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 246822FF-B3A8-41C7-8C2C-8CCB64C14188, Text: 20, Length: 0.20, DimNode 231 Bounding Box: [(-3.10, -25.60, 0.00), (-3.09, -25.59, 0.00)], Position: (-3.10, -25.60), Info String: Dim Node 231
Element Type: DimNode 232, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 650, Length: 6.50, DimNode 232 Bounding Box: [(-3.10, -19.10, 0.00), (-3.09, -19.09, 0.00)], Position: (-3.10, -19.10), Info String: Dim Node 232
Element Type: DimNode 233, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 233 Bounding Box: [(-3.10, -19.00, 0.00), (-3.09, -19.00, 0.00)], Position: (-3.10, -19.00), Info String: Dim Node 233
Element Type: DimNode 234, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 280, Length: 2.80, DimNode 234 Bounding Box: [(-3.10, -16.20, 0.00), (-3.09, -16.19, 0.00)], Position: (-3.10, -16.20), Info String: Dim Node 234
Element Type: DimNode 235, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 235 Bounding Box: [(-3.10, -16.00, 0.00), (-3.09, -15.99, 0.00)], Position: (-3.10, -16.00), Info String: Dim Node 235
Element Type: DimNode 236, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Associated Element GUID: 991E501F-B477-4B3B-B520-4903DD3586B5, Text: 1,600, Length: 16.00, DimNode 236 Bounding Box: [(-3.10, -0.01, 0.00), (-3.09, 0.00, 0.00)], Position: (-3.10, -0.00), Info String: Dim Node 236
Element Type: Dimension, GUID: F4064BD2-E39B-4C1A-B78F-840CE3923ACF, Dimension Bounding Box: [(-3.19, -28.06, 0.20), (-3.01, 0.06, 0.20)], Length: 28.00, Info String: Dim 11
Element Type: DimNode 237, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 0FADFDE6-3D3D-4D65-A39F-C9061C02763C, Text: 0, Length: 0.00, DimNode 237 Bounding Box: [(-23.06, -27.50, 0.00), (-23.05, -27.50, 0.00)], Position: (-23.06, -27.50), Info String: Dim Node 237
Element Type: DimNode 238, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: DF96E44F-6757-403E-A428-77BF8CBA082B, Text: 20, Length: 0.20, DimNode 238 Bounding Box: [(-23.06, -27.31, 0.00), (-23.05, -27.30, 0.00)], Position: (-23.06, -27.30), Info String: Dim Node 238
Element Type: DimNode 239, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: DF96E44F-6757-403E-A428-77BF8CBA082B, Text: 20, Length: 0.20, DimNode 239 Bounding Box: [(-23.06, -27.10, 0.00), (-23.05, -27.09, 0.00)], Position: (-23.06, -27.10), Info String: Dim Node 239
Element Type: DimNode 240, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 765AE414-85F9-4D04-9D56-0F374C86215E, Text: 840, Length: 8.40, DimNode 240 Bounding Box: [(-23.06, -18.70, 0.00), (-23.05, -18.69, 0.00)], Position: (-23.06, -18.70), Info String: Dim Node 240
Element Type: DimNode 241, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 765AE414-85F9-4D04-9D56-0F374C86215E, Text: 20, Length: 0.20, DimNode 241 Bounding Box: [(-23.06, -18.50, 0.00), (-23.05, -18.50, 0.00)], Position: (-23.06, -18.50), Info String: Dim Node 241
Element Type: DimNode 242, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 3A0350C7-EA66-4830-900E-B837CA08EB33, Text: 130, Length: 1.30, DimNode 242 Bounding Box: [(-23.06, -17.20, 0.00), (-23.05, -17.19, 0.00)], Position: (-23.06, -17.20), Info String: Dim Node 242
Element Type: DimNode 243, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 3A0350C7-EA66-4830-900E-B837CA08EB33, Text: 20, Length: 0.20, DimNode 243 Bounding Box: [(-23.06, -17.00, 0.00), (-23.05, -17.00, 0.00)], Position: (-23.06, -17.00), Info String: Dim Node 243
Element Type: DimNode 244, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: E91FACE2-1E71-4D3A-98E2-EC4DEB67D431, Text: 810, Length: 8.10, DimNode 244 Bounding Box: [(-23.06, -8.90, 0.00), (-23.05, -8.90, 0.00)], Position: (-23.06, -8.90), Info String: Dim Node 244
Element Type: DimNode 245, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 2AECBD67-58F7-4B31-B005-8E962F95D492, Text: 10, Length: 0.10, DimNode 245 Bounding Box: [(-23.06, -8.81, 0.00), (-23.05, -8.80, 0.00)], Position: (-23.06, -8.80), Info String: Dim Node 245
Element Type: DimNode 246, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 88A7EC97-789D-4D40-AE53-AE8FA7DD6B73, Text: 150, Length: 1.50, DimNode 246 Bounding Box: [(-23.06, -7.30, 0.00), (-23.05, -7.30, 0.00)], Position: (-23.06, -7.30), Info String: Dim Node 246
Element Type: DimNode 247, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 88A7EC97-789D-4D40-AE53-AE8FA7DD6B73, Text: 20, Length: 0.20, DimNode 247 Bounding Box: [(-23.06, -7.11, 0.00), (-23.05, -7.09, 0.00)], Position: (-23.06, -7.10), Info String: Dim Node 247
Element Type: DimNode 248, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Associated Element GUID: 5020DC38-D5A2-404D-9D57-4F74723DBFA8, Text: 710, Length: 7.10, DimNode 248 Bounding Box: [(-23.06, -0.01, 0.00), (-23.05, 0.00, 0.00)], Position: (-23.06, -0.00), Info String: Dim Node 248
Element Type: Dimension, GUID: 32500F30-7179-4096-B02A-3CC1E6111645, Dimension Bounding Box: [(-23.15, -27.56, 0.20), (-22.96, 0.06, 0.20)], Length: 27.50, Info String: Dim 12
Element Type: DimNode 249, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: B48E1165-3225-4681-ABE5-17107E9A0EBC, Text: 0, Length: 0.00, DimNode 249 Bounding Box: [(-13.59, -27.50, 0.00), (-13.58, -27.50, 0.00)], Position: (-13.58, -27.50), Info String: Dim Node 249
Element Type: DimNode 250, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 4793C202-F706-41DF-B34A-B484E8F8F17B, Text: 170, Length: 1.70, DimNode 250 Bounding Box: [(-13.59, -25.81, 0.00), (-13.58, -25.80, 0.00)], Position: (-13.58, -25.80), Info String: Dim Node 250
Element Type: DimNode 251, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 4793C202-F706-41DF-B34A-B484E8F8F17B, Text: 20, Length: 0.20, DimNode 251 Bounding Box: [(-13.59, -25.60, 0.00), (-13.58, -25.59, 0.00)], Position: (-13.58, -25.60), Info String: Dim Node 251
Element Type: DimNode 252, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 613E8262-DAEB-47EC-90AD-9EDD628884A3, Text: 500, Length: 5.00, DimNode 252 Bounding Box: [(-13.59, -20.60, 0.00), (-13.58, -20.59, 0.00)], Position: (-13.58, -20.60), Info String: Dim Node 252
Element Type: DimNode 253, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 613E8262-DAEB-47EC-90AD-9EDD628884A3, Text: 10, Length: 0.10, DimNode 253 Bounding Box: [(-13.59, -20.50, 0.00), (-13.58, -20.49, 0.00)], Position: (-13.58, -20.50), Info String: Dim Node 253
Element Type: DimNode 254, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: CE2362FB-2407-4263-8C6A-73ED1CE0D247, Text: 180, Length: 1.80, DimNode 254 Bounding Box: [(-13.59, -18.70, 0.00), (-13.58, -18.69, 0.00)], Position: (-13.58, -18.70), Info String: Dim Node 254
Element Type: DimNode 255, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: CE2362FB-2407-4263-8C6A-73ED1CE0D247, Text: 20, Length: 0.20, DimNode 255 Bounding Box: [(-13.59, -18.50, 0.00), (-13.58, -18.50, 0.00)], Position: (-13.58, -18.50), Info String: Dim Node 255
Element Type: DimNode 256, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: CB6A0FE8-A174-43AD-835E-4168E8064A04, Text: 130, Length: 1.30, DimNode 256 Bounding Box: [(-13.59, -17.20, 0.00), (-13.58, -17.19, 0.00)], Position: (-13.58, -17.20), Info String: Dim Node 256
Element Type: DimNode 257, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: CB6A0FE8-A174-43AD-835E-4168E8064A04, Text: 30, Length: 0.30, DimNode 257 Bounding Box: [(-13.59, -16.91, 0.00), (-13.58, -16.90, 0.00)], Position: (-13.58, -16.90), Info String: Dim Node 257
Element Type: DimNode 258, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: F8ECAB3A-299C-4535-AB6C-BFB09503A055, Text: 250, Length: 2.50, DimNode 258 Bounding Box: [(-13.59, -14.40, 0.00), (-13.58, -14.40, 0.00)], Position: (-13.58, -14.40), Info String: Dim Node 258
Element Type: DimNode 259, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: F8ECAB3A-299C-4535-AB6C-BFB09503A055, Text: 25, Length: 0.25, DimNode 259 Bounding Box: [(-13.59, -14.15, 0.00), (-13.58, -14.15, 0.00)], Position: (-13.58, -14.15), Info String: Dim Node 259
Element Type: DimNode 260, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 00493A53-8D37-4D2F-85BB-C5B783EDEA35, Text: 280, Length: 2.80, DimNode 260 Bounding Box: [(-13.59, -11.36, 0.00), (-13.58, -11.35, 0.00)], Position: (-13.58, -11.35), Info String: Dim Node 260
Element Type: DimNode 261, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: 00493A53-8D37-4D2F-85BB-C5B783EDEA35, Text: 30, Length: 0.30, DimNode 261 Bounding Box: [(-13.59, -11.06, 0.00), (-13.58, -11.05, 0.00)], Position: (-13.58, -11.05), Info String: Dim Node 261
Element Type: DimNode 262, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: ED92DDB3-FF9B-48AD-94ED-500F34A3CF1E, Text: 215, Length: 2.15, DimNode 262 Bounding Box: [(-13.59, -8.90, 0.00), (-13.58, -8.90, 0.00)], Position: (-13.58, -8.90), Info String: Dim Node 262
Element Type: DimNode 263, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: ED92DDB3-FF9B-48AD-94ED-500F34A3CF1E, Text: 30, Length: 0.30, DimNode 263 Bounding Box: [(-13.59, -8.60, 0.00), (-13.58, -8.60, 0.00)], Position: (-13.58, -8.60), Info String: Dim Node 263
Element Type: DimNode 264, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: A92A68BB-C518-46CC-B02B-572AFA04791E, Text: 130, Length: 1.30, DimNode 264 Bounding Box: [(-13.59, -7.30, 0.00), (-13.58, -7.30, 0.00)], Position: (-13.58, -7.30), Info String: Dim Node 264
Element Type: DimNode 265, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Associated Element GUID: A92A68BB-C518-46CC-B02B-572AFA04791E, Text: 20, Length: 0.20, DimNode 265 Bounding Box: [(-13.59, -7.11, 0.00), (-13.58, -7.09, 0.00)], Position: (-13.58, -7.10), Info String: Dim Node 265
Element Type: Dimension, GUID: 77446AF9-9C0A-48D1-B33C-34940E9AD81E, Dimension Bounding Box: [(-13.68, -27.56, 0.20), (-13.49, -7.04, 0.20)], Length: 20.40, Info String: Dim 13
Element Type: DimNode 266, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: D8FD1F33-C01F-4BC5-8498-3C5AAAD1E7D2, Text: 0, Length: 0.00, DimNode 266 Bounding Box: [(-81.48, -27.31, 0.00), (-81.47, -27.30, 0.00)], Position: (-81.47, -27.30), Info String: Dim Node 266
Element Type: DimNode 267, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: D8FD1F33-C01F-4BC5-8498-3C5AAAD1E7D2, Text: 20, Length: 0.20, DimNode 267 Bounding Box: [(-81.48, -27.10, 0.00), (-81.47, -27.09, 0.00)], Position: (-81.47, -27.10), Info String: Dim Node 267
Element Type: DimNode 268, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 39E8AEAF-5F8E-456B-BF21-27EB1183BF34, Text: 530, Length: 5.30, DimNode 268 Bounding Box: [(-81.48, -21.81, 0.00), (-81.47, -21.80, 0.00)], Position: (-81.47, -21.80), Info String: Dim Node 268
Element Type: DimNode 269, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 39E8AEAF-5F8E-456B-BF21-27EB1183BF34, Text: 10, Length: 0.10, DimNode 269 Bounding Box: [(-81.48, -21.70, 0.00), (-81.47, -21.69, 0.00)], Position: (-81.47, -21.70), Info String: Dim Node 269
Element Type: DimNode 270, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 2F99B19C-DE72-43F7-9378-65E6932BC8F2, Text: 110, Length: 1.10, DimNode 270 Bounding Box: [(-81.48, -20.60, 0.00), (-81.47, -20.59, 0.00)], Position: (-81.47, -20.60), Info String: Dim Node 270
Element Type: DimNode 271, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 2F99B19C-DE72-43F7-9378-65E6932BC8F2, Text: 10, Length: 0.10, DimNode 271 Bounding Box: [(-81.48, -20.50, 0.00), (-81.47, -20.49, 0.00)], Position: (-81.47, -20.50), Info String: Dim Node 271
Element Type: DimNode 272, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: D2B249EE-85CA-4B68-A509-5C7C6CEDFB48, Text: 180, Length: 1.80, DimNode 272 Bounding Box: [(-81.48, -18.70, 0.00), (-81.47, -18.69, 0.00)], Position: (-81.47, -18.70), Info String: Dim Node 272
Element Type: DimNode 273, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: D2B249EE-85CA-4B68-A509-5C7C6CEDFB48, Text: 20, Length: 0.20, DimNode 273 Bounding Box: [(-81.48, -18.50, 0.00), (-81.47, -18.50, 0.00)], Position: (-81.47, -18.50), Info String: Dim Node 273
Element Type: DimNode 274, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: A1B64159-E768-4F4C-AE3E-2DF15282296C, Text: 162, Length: 1.62, DimNode 274 Bounding Box: [(-81.48, -16.89, 0.00), (-81.47, -16.88, 0.00)], Position: (-81.47, -16.88), Info String: Dim Node 274
Element Type: DimNode 275, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: CE54468E-A9BA-4243-B64B-A8B402FB5826, Text: 798, Length: 7.98, DimNode 275 Bounding Box: [(-81.48, -8.90, 0.00), (-81.47, -8.90, 0.00)], Position: (-81.47, -8.90), Info String: Dim Node 275
Element Type: DimNode 276, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: B8ED0BA3-6CA7-4DD8-9F02-EF27737B0C72, Text: 22, Length: 0.22, DimNode 276 Bounding Box: [(-81.48, -8.69, 0.00), (-81.47, -8.68, 0.00)], Position: (-81.47, -8.68), Info String: Dim Node 276
Element Type: DimNode 277, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 66BDF45C-3F5F-4598-9443-75C6A1651139, Text: 138, Length: 1.38, DimNode 277 Bounding Box: [(-81.48, -7.30, 0.00), (-81.47, -7.30, 0.00)], Position: (-81.47, -7.30), Info String: Dim Node 277
Element Type: DimNode 278, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 66BDF45C-3F5F-4598-9443-75C6A1651139, Text: 20, Length: 0.20, DimNode 278 Bounding Box: [(-81.48, -7.11, 0.00), (-81.47, -7.09, 0.00)], Position: (-81.47, -7.10), Info String: Dim Node 278
Element Type: DimNode 279, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 3F4D0EF4-401B-4021-9E99-CC3DB28A83C1, Text: 410, Length: 4.10, DimNode 279 Bounding Box: [(-81.48, -3.01, 0.00), (-81.47, -3.00, 0.00)], Position: (-81.47, -3.00), Info String: Dim Node 279
Element Type: DimNode 280, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 210, Length: 2.10, DimNode 280 Bounding Box: [(-81.48, -0.91, 0.00), (-81.47, -0.90, 0.00)], Position: (-81.47, -0.90), Info String: Dim Node 280
Element Type: DimNode 281, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Associated Element GUID: 24FE7402-68C7-4C4D-B346-0C4A95288208, Text: 90, Length: 0.90, DimNode 281 Bounding Box: [(-81.48, -0.01, 0.00), (-81.47, 0.00, 0.00)], Position: (-81.47, -0.00), Info String: Dim Node 281
Element Type: Dimension, GUID: 6E81C4D0-F5AD-4D10-8CF2-E5D67E724A35, Dimension Bounding Box: [(-81.57, -27.36, 0.20), (-81.38, 0.06, 0.20)], Length: 27.30, Info String: Dim 14
Element Type: DimNode 282, GUID: 198778A6-7A07-45D7-8282-595414C203D5, Associated Element GUID: 385E74D5-CCAA-4B0D-AF25-66ED1DFA001E, Text: 0, Length: 0.00, DimNode 282 Bounding Box: [(-73.32, -27.50, 0.00), (-73.31, -27.50, 0.00)], Position: (-73.31, -27.50), Info String: Dim Node 282
