Element Type: DimNode 0, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-88.60, -1.73, 0.00), (-88.60, -1.72, 0.00)], Position: (-88.60, -1.72), Info String: Dim Node 0
Element Type: DimNode 312, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: 146D118F-1FFA-A9AF-9833-58F0C8E76B07, Text: 110, Length: 1.10, DimNode 312 Bounding Box: [(-79.68, -10.05, 0.00), (-79.67, -10.05, 0.00)], Position: (-79.68, -10.05), Info String: Dim Node 312
Element Type: DimNode 313, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: 52FD1063-3B2C-2710-C9AC-BA7AD35AAFD0, Text: 145, Length: 1.45, DimNode 313 Bounding Box: [(-79.68, -8.60, 0.00), (-79.67, -8.59, 0.00)], Position: (-79.68, -8.60), Info String: Dim Node 313
Element Type: DimNode 314, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: AA9CAD78-4998-C288-BC1E-8C511C44DE06, Text: 130, Length: 1.30, DimNode 314 Bounding Box: [(-79.68, -7.30, 0.00), (-79.67, -7.30, 0.00)], Position: (-79.68, -7.30), Info String: Dim Node 314
Element Type: DimNode 315, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: AA9CAD78-4998-C288-BC1E-8C511C44DE06, Text: 20, Length: 0.20, DimNode 315 Bounding Box: [(-79.68, -7.11, 0.00), (-79.67, -7.09, 0.00)], Position: (-79.68, -7.10), Info String: Dim Node 315
Element Type: DimNode 316, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: C41D9462-856D-2D19-0487-9547A637678B, Text: 130, Length: 1.30, DimNode 316 Bounding Box: [(-79.68, -5.80, 0.00), (-79.67, -5.80, 0.00)], Position: (-79.68, -5.80), Info String: Dim Node 316
Element Type: DimNode 317, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: C41D9462-856D-2D19-0487-9547A637678B, Text: 80, Length: 0.80, DimNode 317 Bounding Box: [(-79.68, -5.01, 0.00), (-79.67, -4.99, 0.00)], Position: (-79.68, -5.00), Info String: Dim Node 317
Element Type: DimNode 318, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: AD030FBE-6BB0-6769-A0F1-5A0E59115B58, Text: 140, Length: 1.40, DimNode 318 Bounding Box: [(-79.68, -3.61, 0.00), (-79.67, -3.60, 0.00)], Position: (-79.68, -3.60), Info String: Dim Node 318
Element Type: DimNode 319, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Associated Element GUID: AD030FBE-6BB0-6769-A0F1-5A0E59115B58, Text: 90, Length: 0.90, DimNode 319 Bounding Box: [(-79.68, -2.70, 0.00), (-79.67, -2.69, 0.00)], Position: (-79.68, -2.70), Info String: Dim Node 319
Element Type: Dimension, GUID: 20DC7D9E-7FFE-43E5-AA6D-628832E2DEE1, Dimension Bounding Box: [(-79.77, -22.01, 0.20), (-79.58, -2.64, 0.20)], Length: 19.25, Info String: Dim 20
Element Type: DimNode 320, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: DE683E92-38EE-EB01-BE32-B420060D0A5C, Text: 0, Length: 0.00, DimNode 320 Bounding Box: [(-76.86, -27.00, 0.00), (-76.85, -26.99, 0.00)], Position: (-76.86, -27.00), Info String: Dim Node 320
Element Type: DimNode 321, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: B4B76048-DDF1-AACA-696A-E7FE4CB96FA1, Text: 120, Length: 1.20, DimNode 321 Bounding Box: [(-76.86, -25.81, 0.00), (-76.85, -25.80, 0.00)], Position: (-76.86, -25.80), Info String: Dim Node 321
Element Type: DimNode 322, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: B4B76048-DDF1-AACA-696A-E7FE4CB96FA1, Text: 20, Length: 0.20, DimNode 322 Bounding Box: [(-76.86, -25.60, 0.00), (-76.85, -25.59, 0.00)], Position: (-76.86, -25.60), Info String: Dim Node 322
Element Type: DimNode 323, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 79E0A1A7-C6A1-5583-0485-5721336E80ED, Text: 249, Length: 2.49, DimNode 323 Bounding Box: [(-76.86, -23.11, 0.00), (-76.85, -23.10, 0.00)], Position: (-76.86, -23.11), Info String: Dim Node 323
Element Type: DimNode 324, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 79E0A1A7-C6A1-5583-0485-5721336E80ED, Text: 90, Length: 0.90, DimNode 324 Bounding Box: [(-76.86, -22.21, 0.00), (-76.85, -22.20, 0.00)], Position: (-76.86, -22.21), Info String: Dim Node 324
Element Type: DimNode 325, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 27632DCE-202F-D1E7-BDA6-7208AEFDC1D8, Text: 71, Length: 0.71, DimNode 325 Bounding Box: [(-76.86, -21.50, 0.00), (-76.85, -21.49, 0.00)], Position: (-76.86, -21.50), Info String: Dim Node 325
Element Type: DimNode 326, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 27632DCE-202F-D1E7-BDA6-7208AEFDC1D8, Text: 10, Length: 0.10, DimNode 326 Bounding Box: [(-76.86, -21.40, 0.00), (-76.85, -21.39, 0.00)], Position: (-76.86, -21.40), Info String: Dim Node 326
Element Type: DimNode 327, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 7CBC7568-745A-0107-1B7C-D7440945CBAB, Text: 9, Length: 0.09, DimNode 327 Bounding Box: [(-76.86, -21.31, 0.00), (-76.85, -21.30, 0.00)], Position: (-76.86, -21.31), Info String: Dim Node 327
Element Type: DimNode 328, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 7CBC7568-745A-0107-1B7C-D7440945CBAB, Text: 80, Length: 0.80, DimNode 328 Bounding Box: [(-76.86, -20.51, 0.00), (-76.85, -20.50, 0.00)], Position: (-76.86, -20.51), Info String: Dim Node 328
Element Type: DimNode 329, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 20D6CF4D-4601-3BA0-39BC-066B3463E49A, Text: 111, Length: 1.11, DimNode 329 Bounding Box: [(-76.86, -19.41, 0.00), (-76.85, -19.40, 0.00)], Position: (-76.86, -19.40), Info String: Dim Node 329
Element Type: DimNode 330, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 20D6CF4D-4601-3BA0-39BC-066B3463E49A, Text: 10, Length: 0.10, DimNode 330 Bounding Box: [(-76.86, -19.31, 0.00), (-76.85, -19.30, 0.00)], Position: (-76.86, -19.30), Info String: Dim Node 330
Element Type: DimNode 331, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: BEDA4A2A-8A3F-C4D4-AE9F-D9370AC54282, Text: 210, Length: 2.10, DimNode 331 Bounding Box: [(-76.86, -17.20, 0.00), (-76.85, -17.19, 0.00)], Position: (-76.86, -17.20), Info String: Dim Node 331
Element Type: DimNode 332, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: BEDA4A2A-8A3F-C4D4-AE9F-D9370AC54282, Text: 5, Length: 0.05, DimNode 332 Bounding Box: [(-76.86, -17.16, 0.00), (-76.85, -17.15, 0.00)], Position: (-76.86, -17.15), Info String: Dim Node 332
Element Type: DimNode 333, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 9F870FE9-0C75-DC55-B71C-D8B121437821, Text: 155, Length: 1.55, DimNode 333 Bounding Box: [(-76.86, -15.60, 0.00), (-76.85, -15.60, 0.00)], Position: (-76.86, -15.60), Info String: Dim Node 333
Element Type: DimNode 334, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 9F870FE9-0C75-DC55-B71C-D8B121437821, Text: 10, Length: 0.10, DimNode 334 Bounding Box: [(-76.86, -15.51, 0.00), (-76.85, -15.49, 0.00)], Position: (-76.86, -15.50), Info String: Dim Node 334
Element Type: DimNode 335, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 68DA588E-B73D-C7CC-2B0B-64E4C95767ED, Text: 125, Length: 1.25, DimNode 335 Bounding Box: [(-76.86, -14.26, 0.00), (-76.85, -14.24, 0.00)], Position: (-76.86, -14.25), Info String: Dim Node 335
Element Type: DimNode 336, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: 68DA588E-B73D-C7CC-2B0B-64E4C95767ED, Text: 25, Length: 0.25, DimNode 336 Bounding Box: [(-76.86, -14.01, 0.00), (-76.85, -13.99, 0.00)], Position: (-76.86, -14.00), Info String: Dim Node 336
Element Type: DimNode 337, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: E5F018F0-59C9-0676-F9CE-075CD08BA378, Text: 440, Length: 4.40, DimNode 337 Bounding Box: [(-76.86, -9.60, 0.00), (-76.85, -9.59, 0.00)], Position: (-76.86, -9.60), Info String: Dim Node 337
Element Type: DimNode 338, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: E5F018F0-59C9-0676-F9CE-075CD08BA378, Text: 30, Length: 0.30, DimNode 338 Bounding Box: [(-76.86, -9.30, 0.00), (-76.85, -9.30, 0.00)], Position: (-76.86, -9.30), Info String: Dim Node 338
Element Type: DimNode 339, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: F4A5CCFE-5B15-35E0-5D0B-FE40170AF8FC, Text: 65, Length: 0.65, DimNode 339 Bounding Box: [(-76.86, -8.65, 0.00), (-76.85, -8.64, 0.00)], Position: (-76.86, -8.65), Info String: Dim Node 339
Element Type: DimNode 340, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: F4A5CCFE-5B15-35E0-5D0B-FE40170AF8FC, Text: 5, Length: 0.05, DimNode 340 Bounding Box: [(-76.86, -8.60, 0.00), (-76.85, -8.59, 0.00)], Position: (-76.86, -8.60), Info String: Dim Node 340
Element Type: DimNode 341, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: B9908CA4-40FE-B962-7765-93E6037EDAAF, Text: 210, Length: 2.10, DimNode 341 Bounding Box: [(-76.86, -6.51, 0.00), (-76.85, -6.49, 0.00)], Position: (-76.86, -6.50), Info String: Dim Node 341
Element Type: DimNode 342, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: B9908CA4-40FE-B962-7765-93E6037EDAAF, Text: 10, Length: 0.10, DimNode 342 Bounding Box: [(-76.86, -6.40, 0.00), (-76.85, -6.39, 0.00)], Position: (-76.86, -6.40), Info String: Dim Node 342
Element Type: DimNode 343, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: A117A4CE-8E49-5A73-F41E-121118A77C28, Text: 200, Length: 2.00, DimNode 343 Bounding Box: [(-76.86, -4.41, 0.00), (-76.85, -4.39, 0.00)], Position: (-76.86, -4.40), Info String: Dim Node 343
Element Type: DimNode 344, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: A117A4CE-8E49-5A73-F41E-121118A77C28, Text: 10, Length: 0.10, DimNode 344 Bounding Box: [(-76.86, -4.30, 0.00), (-76.85, -4.30, 0.00)], Position: (-76.86, -4.30), Info String: Dim Node 344
Element Type: DimNode 345, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: F889F720-A220-255C-31D1-A2492FC22316, Text: 410, Length: 4.10, DimNode 345 Bounding Box: [(-76.86, -0.21, 0.00), (-76.85, -0.20, 0.00)], Position: (-76.86, -0.20), Info String: Dim Node 345
Element Type: DimNode 346, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: F889F720-A220-255C-31D1-A2492FC22316, Text: 20, Length: 0.20, DimNode 346 Bounding Box: [(-76.86, -0.01, 0.00), (-76.85, 0.00, 0.00)], Position: (-76.86, -0.00), Info String: Dim Node 346
Element Type: DimNode 347, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Associated Element GUID: B79977DB-ACF4-E989-4052-5633ABB0C9B8, Text: 120, Length: 1.20, DimNode 347 Bounding Box: [(-76.86, 1.19, 0.00), (-76.85, 1.20, 0.00)], Position: (-76.86, 1.20), Info String: Dim Node 347
Element Type: Dimension, GUID: AC95634E-E1CB-4A60-B8A4-1AEAD759AC04, Dimension Bounding Box: [(-76.95, -27.06, 0.20), (-76.76, 1.26, 0.20)], Length: 28.20, Info String: Dim 21
Element Type: DimNode 348, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 348 Bounding Box: [(-74.66, -27.01, 0.00), (-74.65, -27.00, 0.00)], Position: (-74.65, -27.00), Info String: Dim Node 348
Element Type: DimNode 349, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 578141A2-5C85-2A8C-CE4B-8B4EEE94AB60, Text: 524, Length: 5.24, DimNode 349 Bounding Box: [(-74.66, -21.76, 0.00), (-74.65, -21.75, 0.00)], Position: (-74.65, -21.76), Info String: Dim Node 349
Element Type: DimNode 350, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 578141A2-5C85-2A8C-CE4B-8B4EEE94AB60, Text: 72, Length: 0.72, DimNode 350 Bounding Box: [(-74.66, -21.04, 0.00), (-74.65, -21.03, 0.00)], Position: (-74.65, -21.04), Info String: Dim Node 350
Element Type: DimNode 351, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 27180CA6-386D-2131-43BE-FC4678A399B9, Text: 107, Length: 1.07, DimNode 351 Bounding Box: [(-74.66, -19.98, 0.00), (-74.65, -19.97, 0.00)], Position: (-74.65, -19.97), Info String: Dim Node 351
Element Type: DimNode 352, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: E2917B8E-A9F5-867C-6098-2006C1001BEA, Text: 127, Length: 1.27, DimNode 352 Bounding Box: [(-74.66, -18.70, 0.00), (-74.65, -18.69, 0.00)], Position: (-74.65, -18.70), Info String: Dim Node 352
Element Type: DimNode 353, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: E2917B8E-A9F5-867C-6098-2006C1001BEA, Text: 20, Length: 0.20, DimNode 353 Bounding Box: [(-74.66, -18.51, 0.00), (-74.65, -18.50, 0.00)], Position: (-74.65, -18.50), Info String: Dim Node 353
Element Type: DimNode 354, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 98215E01-697E-1BDA-EA8F-DA48CA493158, Text: 130, Length: 1.30, DimNode 354 Bounding Box: [(-74.66, -17.20, 0.00), (-74.65, -17.19, 0.00)], Position: (-74.65, -17.20), Info String: Dim Node 354
Element Type: DimNode 355, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 98215E01-697E-1BDA-EA8F-DA48CA493158, Text: 30, Length: 0.30, DimNode 355 Bounding Box: [(-74.66, -16.91, 0.00), (-74.65, -16.90, 0.00)], Position: (-74.65, -16.90), Info String: Dim Node 355
Element Type: DimNode 356, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 83C92DB5-7744-8F58-EB49-3557E7120691, Text: 130, Length: 1.30, DimNode 356 Bounding Box: [(-74.66, -15.60, 0.00), (-74.65, -15.60, 0.00)], Position: (-74.65, -15.60), Info String: Dim Node 356
Element Type: DimNode 357, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 13762427-CAFA-AA84-59CC-D94F4BEF8B10, Text: 5, Length: 0.05, DimNode 357 Bounding Box: [(-74.66, -15.56, 0.00), (-74.65, -15.55, 0.00)], Position: (-74.65, -15.55), Info String: Dim Node 357
Element Type: DimNode 358, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 72785B6D-14B3-BE9F-9335-F8878C955D9F, Text: 130, Length: 1.30, DimNode 358 Bounding Box: [(-74.66, -14.26, 0.00), (-74.65, -14.24, 0.00)], Position: (-74.65, -14.25), Info String: Dim Node 358
Element Type: DimNode 359, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 72785B6D-14B3-BE9F-9335-F8878C955D9F, Text: 25, Length: 0.25, DimNode 359 Bounding Box: [(-74.66, -14.01, 0.00), (-74.65, -13.99, 0.00)], Position: (-74.65, -14.00), Info String: Dim Node 359
Element Type: DimNode 360, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 4572317B-199D-EF18-C0AB-82B45F8D9926, Text: 314, Length: 3.14, DimNode 360 Bounding Box: [(-74.66, -10.86, 0.00), (-74.65, -10.85, 0.00)], Position: (-74.65, -10.86), Info String: Dim Node 360
Element Type: DimNode 361, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: AB034EC8-434D-06FD-8D92-27F0F092BCBD, Text: 206, Length: 2.06, DimNode 361 Bounding Box: [(-74.66, -8.80, 0.00), (-74.65, -8.80, 0.00)], Position: (-74.65, -8.80), Info String: Dim Node 361
Element Type: DimNode 362, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: AB034EC8-434D-06FD-8D92-27F0F092BCBD, Text: 20, Length: 0.20, DimNode 362 Bounding Box: [(-74.66, -8.60, 0.00), (-74.65, -8.59, 0.00)], Position: (-74.65, -8.60), Info String: Dim Node 362
Element Type: DimNode 363, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 04FF6664-23DF-B781-87D0-EFA60EFCC6B2, Text: 210, Length: 2.10, DimNode 363 Bounding Box: [(-74.66, -6.51, 0.00), (-74.65, -6.49, 0.00)], Position: (-74.65, -6.50), Info String: Dim Node 363
Element Type: DimNode 364, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 04FF6664-23DF-B781-87D0-EFA60EFCC6B2, Text: 10, Length: 0.10, DimNode 364 Bounding Box: [(-74.66, -6.40, 0.00), (-74.65, -6.39, 0.00)], Position: (-74.65, -6.40), Info String: Dim Node 364
Element Type: DimNode 365, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: C8CC32D3-71BC-EFC3-694B-D983F9F65B32, Text: 200, Length: 2.00, DimNode 365 Bounding Box: [(-74.66, -4.41, 0.00), (-74.65, -4.39, 0.00)], Position: (-74.65, -4.40), Info String: Dim Node 365
Element Type: DimNode 366, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: C8CC32D3-71BC-EFC3-694B-D983F9F65B32, Text: 10, Length: 0.10, DimNode 366 Bounding Box: [(-74.66, -4.30, 0.00), (-74.65, -4.30, 0.00)], Position: (-74.65, -4.30), Info String: Dim Node 366
Element Type: DimNode 367, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 650CF771-C813-A5A1-2E91-F153CCDA21B0, Text: 410, Length: 4.10, DimNode 367 Bounding Box: [(-74.66, -0.21, 0.00), (-74.65, -0.20, 0.00)], Position: (-74.65, -0.20), Info String: Dim Node 367
Element Type: DimNode 368, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 650CF771-C813-A5A1-2E91-F153CCDA21B0, Text: 20, Length: 0.20, DimNode 368 Bounding Box: [(-74.66, -0.01, 0.00), (-74.65, 0.00, 0.00)], Position: (-74.65, -0.00), Info String: Dim Node 368
Element Type: DimNode 369, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Associated Element GUID: 15C9EA60-DFF9-7A87-065B-B6F0F27894BA, Text: 120, Length: 1.20, DimNode 369 Bounding Box: [(-74.66, 1.19, 0.00), (-74.65, 1.20, 0.00)], Position: (-74.65, 1.20), Info String: Dim Node 369
Element Type: Dimension, GUID: A94268C8-46BB-448A-9991-FEFE6852F3F7, Dimension Bounding Box: [(-74.75, -27.06, 0.20), (-74.56, 1.26, 0.20)], Length: 28.20, Info String: Dim 22
Element Type: DimNode 370, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 7589B85C-E0AA-77C7-292F-35BE6A50B9BD, Text: 0, Length: 0.00, DimNode 370 Bounding Box: [(-71.96, -21.51, 0.00), (-71.95, -21.50, 0.00)], Position: (-71.95, -21.50), Info String: Dim Node 370
Element Type: DimNode 371, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 7589B85C-E0AA-77C7-292F-35BE6A50B9BD, Text: 10, Length: 0.10, DimNode 371 Bounding Box: [(-71.96, -21.41, 0.00), (-71.95, -21.40, 0.00)], Position: (-71.95, -21.40), Info String: Dim Node 371
Element Type: DimNode 372, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 5F7FB2C5-7B8F-2114-093C-4E5E057E467B, Text: 270, Length: 2.70, DimNode 372 Bounding Box: [(-71.96, -18.70, 0.00), (-71.95, -18.69, 0.00)], Position: (-71.95, -18.70), Info String: Dim Node 372
Element Type: DimNode 373, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 5F7FB2C5-7B8F-2114-093C-4E5E057E467B, Text: 20, Length: 0.20, DimNode 373 Bounding Box: [(-71.96, -18.51, 0.00), (-71.95, -18.50, 0.00)], Position: (-71.95, -18.50), Info String: Dim Node 373
Element Type: DimNode 374, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 98215E01-697E-1BDA-EA8F-DA48CA493158, Text: 130, Length: 1.30, DimNode 374 Bounding Box: [(-71.96, -17.20, 0.00), (-71.95, -17.19, 0.00)], Position: (-71.95, -17.20), Info String: Dim Node 374
Element Type: DimNode 375, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 98215E01-697E-1BDA-EA8F-DA48CA493158, Text: 30, Length: 0.30, DimNode 375 Bounding Box: [(-71.96, -16.91, 0.00), (-71.95, -16.90, 0.00)], Position: (-71.95, -16.90), Info String: Dim Node 375
Element Type: DimNode 376, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 72785B6D-14B3-BE9F-9335-F8878C955D9F, Text: 265, Length: 2.65, DimNode 376 Bounding Box: [(-71.96, -14.26, 0.00), (-71.95, -14.24, 0.00)], Position: (-71.95, -14.25), Info String: Dim Node 376
Element Type: DimNode 377, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 72785B6D-14B3-BE9F-9335-F8878C955D9F, Text: 25, Length: 0.25, DimNode 377 Bounding Box: [(-71.96, -14.01, 0.00), (-71.95, -13.99, 0.00)], Position: (-71.95, -14.00), Info String: Dim Node 377
Element Type: DimNode 378, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: FD716596-76BB-4F37-D058-5E81D8BCAF16, Text: 90, Length: 0.90, DimNode 378 Bounding Box: [(-71.96, -13.10, 0.00), (-71.95, -13.10, 0.00)], Position: (-71.95, -13.10), Info String: Dim Node 378
Element Type: DimNode 379, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: FD716596-76BB-4F37-D058-5E81D8BCAF16, Text: 40, Length: 0.40, DimNode 379 Bounding Box: [(-71.96, -12.70, 0.00), (-71.95, -12.69, 0.00)], Position: (-71.95, -12.70), Info String: Dim Node 379
Element Type: DimNode 380, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 6EFA3C3E-5B76-341E-C6A6-AF58385ADE30, Text: 210, Length: 2.10, DimNode 380 Bounding Box: [(-71.96, -10.60, 0.00), (-71.95, -10.59, 0.00)], Position: (-71.95, -10.60), Info String: Dim Node 380
Element Type: DimNode 381, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 6EFA3C3E-5B76-341E-C6A6-AF58385ADE30, Text: 10, Length: 0.10, DimNode 381 Bounding Box: [(-71.96, -10.51, 0.00), (-71.95, -10.49, 0.00)], Position: (-71.95, -10.50), Info String: Dim Node 381
Element Type: DimNode 382, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: D862A763-2FE2-BA64-AB37-128993EFEDF1, Text: 130, Length: 1.30, DimNode 382 Bounding Box: [(-71.96, -9.20, 0.00), (-71.95, -9.19, 0.00)], Position: (-71.95, -9.20), Info String: Dim Node 382
Element Type: DimNode 383, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: D862A763-2FE2-BA64-AB37-128993EFEDF1, Text: 10, Length: 0.10, DimNode 383 Bounding Box: [(-71.96, -9.10, 0.00), (-71.95, -9.09, 0.00)], Position: (-71.95, -9.10), Info String: Dim Node 383
Element Type: DimNode 384, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 09A22B7D-A91A-F488-3495-C57C17FA8814, Text: 45, Length: 0.45, DimNode 384 Bounding Box: [(-71.96, -8.65, 0.00), (-71.95, -8.64, 0.00)], Position: (-71.95, -8.65), Info String: Dim Node 384
Element Type: DimNode 385, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 09A22B7D-A91A-F488-3495-C57C17FA8814, Text: 5, Length: 0.05, DimNode 385 Bounding Box: [(-71.96, -8.60, 0.00), (-71.95, -8.59, 0.00)], Position: (-71.95, -8.60), Info String: Dim Node 385
Element Type: DimNode 386, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 4DDAF2A6-D0F0-A4FC-BE2D-085A27DF31F8, Text: 130, Length: 1.30, DimNode 386 Bounding Box: [(-71.96, -7.30, 0.00), (-71.95, -7.30, 0.00)], Position: (-71.95, -7.30), Info String: Dim Node 386
Element Type: DimNode 387, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 4DDAF2A6-D0F0-A4FC-BE2D-085A27DF31F8, Text: 20, Length: 0.20, DimNode 387 Bounding Box: [(-71.96, -7.11, 0.00), (-71.95, -7.09, 0.00)], Position: (-71.95, -7.10), Info String: Dim Node 387
Element Type: DimNode 388, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 7FE1E4F5-AFBE-0C8B-CB41-1C42288060BF, Text: 272, Length: 2.72, DimNode 388 Bounding Box: [(-71.96, -4.38, 0.00), (-71.95, -4.38, 0.00)], Position: (-71.95, -4.38), Info String: Dim Node 388
Element Type: DimNode 389, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 75DF5EC4-C7EC-81FD-299B-CE309917EA00, Text: 163, Length: 1.63, DimNode 389 Bounding Box: [(-71.96, -2.76, 0.00), (-71.95, -2.75, 0.00)], Position: (-71.95, -2.75), Info String: Dim Node 389
Element Type: DimNode 390, GUID: DDE31A81-D54F-47BC-A0D0-FBC9CF7C294E, Associated Element GUID: 75DF5EC4-C7EC-81FD-299B-CE309917EA00, Text: 10, Length: 0.10, DimNode 390 Bounding Box: [(-71.96, -2.66, 0.00), (-71.95, -2.65, 0.00)], Position: (-71.95, -2.65), Info String: Dim Node 390
