Element Type: DimNode 0, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 0 Bounding Box: [(44.16, -0.16, 0.00), (44.17, -0.14, 0.00)], Position: (44.17, -0.15), Info String: Dim Node 0
Element Type: DimNode 1, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 62FBFE50-0C59-E441-9070-82ED4333C30F, Text: 4.225, Length: 4.23, DimNode 1 Bounding Box: [(44.16, -4.38, 0.00), (44.17, -4.37, 0.00)], Position: (44.17, -4.38), Info String: Dim Node 1
Element Type: DimNode 2, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 427A07B4-534D-C147-9633-A718D8878009, Text: 4.775, Length: 4.77, DimNode 2 Bounding Box: [(44.16, -9.15, 0.00), (44.17, -9.15, 0.00)], Position: (44.17, -9.15), Info String: Dim Node 2
Element Type: DimNode 3, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: E7331A34-B3E4-7946-B0A5-93950F4FE10B, Text: 6.700, Length: 6.70, DimNode 3 Bounding Box: [(44.16, -15.85, 0.00), (44.17, -15.85, 0.00)], Position: (44.17, -15.85), Info String: Dim Node 3
Element Type: DimNode 4, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: B0FE5AF8-40AD-BA41-8C87-C4763841FF52, Text: 3.575, Length: 3.58, DimNode 4 Bounding Box: [(44.16, -19.43, 0.00), (44.17, -19.42, 0.00)], Position: (44.17, -19.43), Info String: Dim Node 4
Element Type: DimNode 5, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 4.425, Length: 4.43, DimNode 5 Bounding Box: [(44.16, -23.85, 0.00), (44.17, -23.84, 0.00)], Position: (44.17, -23.85), Info String: Dim Node 5
Element Type: Dimension, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Dimension Bounding Box: [(44.07, -23.91, 0.00), (44.26, -0.09, 0.00)], Length: 23.70, Info String: Dim 1
Element Type: DimNode 6, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 6 Bounding Box: [(46.19, -26.88, 0.00), (46.20, -26.87, 0.00)], Position: (46.19, -26.88), Info String: Dim Node 6
Element Type: DimNode 7, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 12.200, Length: 12.20, DimNode 7 Bounding Box: [(58.39, -26.88, 0.00), (58.40, -26.87, 0.00)], Position: (58.39, -26.88), Info String: Dim Node 7
Element Type: Dimension, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Dimension Bounding Box: [(46.13, -26.97, 0.00), (58.45, -26.78, 0.00)], Length: 12.20, Info String: Dim 2
Element Type: DimNode 8, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 8 Bounding Box: [(43.52, -0.16, 0.00), (43.53, -0.14, 0.00)], Position: (43.52, -0.15), Info String: Dim Node 8
Element Type: DimNode 9, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 23.700, Length: 23.70, DimNode 9 Bounding Box: [(43.52, -23.85, 0.00), (43.53, -23.84, 0.00)], Position: (43.52, -23.85), Info String: Dim Node 9
Element Type: Dimension, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Dimension Bounding Box: [(43.43, -23.91, 0.00), (43.61, -0.09, 0.00)], Length: 23.70, Info String: Dim 3
Element Type: DimNode 10, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 10 Bounding Box: [(46.19, -25.88, 0.00), (46.20, -25.87, 0.00)], Position: (46.19, -25.88), Info String: Dim Node 10
Element Type: DimNode 11, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: E367656E-83C9-6345-BDDE-DCA5F3F0E77B, Text: 4.975, Length: 4.98, DimNode 11 Bounding Box: [(51.16, -25.88, 0.00), (51.17, -25.87, 0.00)], Position: (51.17, -25.88), Info String: Dim Node 11
Element Type: DimNode 12, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 74EAD3FB-A062-8C40-92C8-56C8397B4EBC, Text: 2.250, Length: 2.25, DimNode 12 Bounding Box: [(53.41, -25.88, 0.00), (53.42, -25.87, 0.00)], Position: (53.42, -25.88), Info String: Dim Node 12
Element Type: DimNode 13, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 4.975, Length: 4.97, DimNode 13 Bounding Box: [(58.39, -25.88, 0.00), (58.40, -25.87, 0.00)], Position: (58.39, -25.88), Info String: Dim Node 13
Element Type: Dimension, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Dimension Bounding Box: [(46.13, -25.97, 0.00), (58.45, -25.78, 0.00)], Length: 12.20, Info String: Dim 4
Element Type: Wall, GUID: 619B3302-1090-C043-AD9E-A8629EA12E84, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.02, -24.70, 3.05), (50.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 8AF86906-DD92-B949-833D-957A56B1F363, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.42, -24.70, 3.05), (53.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 4657267F-D244-3644-9B5A-6079FB80850F, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.72, -24.70, 3.05), (53.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 59956C09-1823-D946-9351-231F1C44FDBF, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.12, -24.70, 3.05), (53.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 6313AF38-B74D-4C49-B3C1-0F83283C6F63, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.02, -24.70, 3.05), (53.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 5B54BD8F-F687-9A4E-96A6-3721DE0A36FB, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.92, -24.70, 3.05), (52.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 73EF0943-CD78-E149-8E27-5C8A2AD7BA69, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.72, -24.70, 3.05), (52.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 749D2A05-6F09-3D41-A9D6-30DD1F1B921C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.52, -24.70, 3.05), (52.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: D6CCE281-AA5F-164A-92BC-541533D88306, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.22, -24.70, 3.05), (51.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 8FFFB222-B156-DE4B-960A-D9A3F164FDBC, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.42, -24.70, 3.05), (52.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 235E5290-B7B9-4842-81A4-42BB03E84921, Length: 6.42, Width: 0.30, Height: 6.88, Info String: SW - 008, Wall Bounding Box: [(46.04, -15.70, -0.50), (46.34, -9.28, 6.38)], Label Type: 0
Element Type: Wall, GUID: 35B76105-9500-D54E-8B43-2C6083A0A317, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.02, -24.70, 3.05), (52.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: A4C21C05-8010-BF4B-9329-04B6496DDF4C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.92, -24.70, 3.05), (51.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 6D254E37-BA81-8E4D-9EC7-BCFDD5BE494D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.82, -24.70, 3.05), (51.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: B3521CC1-9C38-7D47-BCB6-A796DE56E0F2, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.72, -24.70, 3.05), (51.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: DDB27078-2DC3-AC4E-8A8C-5EB9194DC306, Length: 1.25, Width: 0.30, Height: 8.40, Info String: SW - 010, Wall Bounding Box: [(58.24, -1.25, -0.50), (58.54, 0.00, 7.90)], Label Type: 0
Element Type: Wall, GUID: 450D2DAE-DDFC-A34E-99F6-1852B7218961, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.12, -24.70, 3.05), (54.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: E0AC3412-F3DF-B146-99F3-2CD82DE309CF, Length: 4.97, Width: 0.30, Height: 3.90, Info String: SW - 012, Wall Bounding Box: [(53.57, -16.00, -0.50), (58.54, -15.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: F1CDBFAD-8CD3-1744-9B9F-869578F86D71, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.92, -24.70, 3.05), (46.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 2692F2C1-3889-8C44-BF7A-7DFEDE7BED36, Length: 2.55, Width: 0.15, Height: 4.80, Info String: SW - 010, Wall Bounding Box: [(54.74, -17.15, -0.10), (57.29, -17.00, 4.70)], Label Type: 0
Element Type: Wall, GUID: FC3AC834-1ACC-8544-9C47-FBFE6FB8B56F, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.62, -24.70, 3.05), (50.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 16F54466-C2FF-6F42-89B4-D1974E007801, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.72, -24.70, 3.05), (50.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 5496DDA3-50C0-FD4B-9C75-797BE4C5BB15, Length: 1.15, Width: 0.02, Height: 0.45, Info String: SW - 019, Wall Bounding Box: [(53.59, -17.02, 2.75), (54.74, -17.00, 3.20)], Label Type: 0
Element Type: Wall, GUID: 4B85F2E9-0074-C043-BA2A-DB4C75094C9B, Length: 1.95, Width: 0.02, Height: 0.35, Info String: SW - 022, Wall Bounding Box: [(51.32, -4.53, 2.75), (53.27, -4.51, 3.10)], Label Type: 0
Element Type: Wall, GUID: 19A3DEBA-DCA3-6443-BAAF-93A6D9F2DBDE, Length: 3.34, Width: 0.02, Height: 0.65, Info String: SW - 021, Wall Bounding Box: [(53.27, -7.86, 2.75), (53.29, -4.53, 3.40)], Label Type: 0
Element Type: Wall, GUID: DAC9D6A3-872F-FF49-BAE7-BDC3685F0A5F, Length: 1.95, Width: 0.02, Height: 0.35, Info String: SW - 020, Wall Bounding Box: [(51.32, -7.88, 2.75), (53.27, -7.86, 3.10)], Label Type: 0
Element Type: Wall, GUID: 3EA5BA9B-B644-9B4E-A8B2-DA582168AC6C, Length: 3.34, Width: 0.02, Height: 0.65, Info String: SW - 019, Wall Bounding Box: [(51.30, -7.86, 2.75), (51.32, -4.53, 3.40)], Label Type: 0
Element Type: Wall, GUID: F1C4B385-F2BA-9741-82D7-5B7230626927, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.82, -24.70, 3.05), (50.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 0C7A7A9C-364B-5549-B4D0-57D514653BF8, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.92, -24.70, 3.05), (50.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: CC1E346E-F9F3-6849-A94B-3DC0F364B8E4, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.02, -24.70, 3.05), (51.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: C1A3BE9C-04DD-EA42-A2DD-D1259F896B1C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.92, -24.70, 3.05), (48.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: B7A86975-7A92-6D48-95F0-1A6D2C43D18A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.12, -24.70, 3.05), (49.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 9744438B-8AB0-5248-98CC-B1C1048D940F, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.22, -24.70, 3.05), (49.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 1BFA30EA-113E-9E46-A2CE-A0179027A89F, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.32, -24.70, 3.05), (49.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 400CCEF0-D996-D24C-A272-D663813CC9F3, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.42, -24.70, 3.05), (49.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 06C43B7A-6AB3-3047-93A7-765CC7AB187D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.02, -24.70, 3.05), (49.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 666F1B8E-FF8E-CA4B-8A7A-C41281976FC9, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.52, -24.70, 3.05), (49.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 32C8C71F-A017-724D-9930-1219AD38F3B4, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.92, -24.70, 3.05), (47.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: CE8854AD-B4A5-C448-A394-B75E66F981DC, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.82, -24.70, 3.05), (48.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 8D823866-F3A0-C54D-9D9D-FE52A486023A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.52, -24.70, 3.05), (47.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: CDE3B4D8-DF1E-9E42-903E-CE77BEBB3D37, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.42, -24.70, 3.05), (47.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 091233D2-A971-CE42-9E55-56986E077C03, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.32, -24.70, 3.05), (47.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 7BFEDD15-237D-C54E-B813-2429224FB242, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.22, -24.70, 3.05), (47.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 0746B4D8-C4B1-6948-98EE-BEA687699F56, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.12, -24.70, 3.05), (47.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 397CEE5E-D9DF-B34F-B184-AE30CEFE6110, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.72, -24.70, 3.05), (46.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: EA2A5811-9267-B247-B27E-D9DE6B6BFA06, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.82, -24.70, 3.05), (46.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: D90C6E5A-9523-1A40-B9A1-5DC2EDCB24BB, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.12, -24.70, 3.05), (48.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: D04BDCA0-ACE0-7D4C-BACB-9B1D4510C895, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.52, -24.70, 3.05), (48.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: C6DFEADD-24D5-9E40-94CA-818C255FF3EE, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.62, -24.70, 3.05), (49.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 0C906982-4907-C34C-A150-9D8AB16BEF8A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.72, -24.70, 3.05), (49.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: F6D8298F-0663-8E42-949F-921AFB9F4AE2, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.62, -24.70, 3.05), (46.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 7397A3DD-FD3A-6A41-8D9B-5BE502D4953B, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.82, -24.70, 3.05), (47.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 9A3EA379-83DA-804E-96A5-803047854566, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.02, -24.70, 3.05), (48.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: CB537999-DF5C-C345-A06B-D615AF2C7759, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.22, -24.70, 3.05), (48.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 3C4B3A31-31E0-C14B-9D17-661775F4F578, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.32, -24.70, 3.05), (48.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: ECC2AC97-0FD7-8D42-9244-DB9B9D5F270A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.42, -24.70, 3.05), (48.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 77A2B808-02D3-CD42-B14D-06D1C519685C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.62, -24.70, 3.05), (48.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 2412ABB0-EC39-0C48-B6B9-980E24BAEED2, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(48.72, -24.70, 3.05), (48.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 5C1F8875-E385-EA43-9BB5-B2E2CA595442, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(46.52, -24.70, 3.05), (46.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 827DD52E-ADAB-DB4E-9A8B-2AE292E8BA61, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.72, -24.70, 3.05), (47.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 847FF70C-BB74-1A45-BB95-F8238B66D67E, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(49.82, -24.70, 3.05), (49.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: A1009452-CC13-C849-8C09-A81D810C7C4A, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.82, -24.70, 3.05), (54.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 1B60AB54-693D-6945-812F-D987604F5C8E, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.72, -24.70, 3.05), (54.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 0EE49AE5-29C6-1F49-92B8-9E465B4E8333, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.62, -24.70, 3.05), (54.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: AE5B57E4-912D-8748-BC0D-B2F5830FB37C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.52, -24.70, 3.05), (54.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 597AB11F-F42F-5745-8251-E7ACABA726B7, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.42, -24.70, 3.05), (54.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: D38F1B12-D4EF-6847-AE3E-901A8EDFC933, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.32, -24.70, 3.05), (54.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 66651DA1-44BC-EA4B-94F8-D09476D26DF1, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.72, -24.70, 3.05), (57.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: E2DA8F6F-559F-2F4B-9983-25D7362F7EC8, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(58.42, -24.70, 3.05), (58.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 8BCE1C78-175E-9F42-AA62-CBA34006140C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(58.22, -24.70, 3.05), (58.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 49725AA5-DE4E-8848-BE9D-8C0BF533C979, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(58.32, -24.70, 3.05), (58.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: DF6292D5-F7FD-6E42-A3B2-3B4CC95B7F42, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(58.02, -24.70, 3.05), (58.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: B2F02B55-1C6A-1140-8FBA-86339028259B, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(58.12, -24.70, 3.05), (58.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: B6238956-B2EB-A74C-B115-BB30E3AC274C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.52, -24.70, 3.05), (57.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 7B76FBBF-65EA-DF49-BB4D-CBE45D7BDABC, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.62, -24.70, 3.05), (57.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 175AED34-4C91-DF4A-92F5-C943ED6AA478, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.82, -24.70, 3.05), (57.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: E21E16A0-200D-674B-9F78-5E801C7E0F56, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.92, -24.70, 3.05), (57.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 9B8408CA-9FBE-6946-8346-B2274827AD23, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.42, -24.70, 3.05), (56.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 611EE244-D0E9-7344-9950-48643494F785, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.32, -24.70, 3.05), (57.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 177A9860-4787-384F-9712-481AEEF07F02, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.42, -24.70, 3.05), (57.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 8255C16F-2F58-A445-A834-6918315A7DE6, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.12, -24.70, 3.05), (57.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 32D21E29-F743-2447-A520-7541C5E8C7E1, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.22, -24.70, 3.05), (57.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 35049036-833C-AF40-9258-A439459A4E5E, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.92, -24.70, 3.05), (56.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 651BB5CD-76B1-BD49-A57D-34F3F68FF1FE, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(57.02, -24.70, 3.05), (57.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 2E834C16-7616-114C-9597-4E7FD6DD44C6, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.72, -24.70, 3.05), (56.77, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: CC51FB4F-D8D9-BC42-BD76-71D22B7AEC0B, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.82, -24.70, 3.05), (56.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 1D07397F-D5B9-A446-B0A7-757E2653643C, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.22, -24.70, 3.05), (56.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 77C3473E-C7E2-D546-8B75-9C04F8CAE548, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.32, -24.70, 3.05), (56.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 11BB9EEF-DCDC-444E-95A0-DCB275D1A4EA, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(56.52, -24.70, 3.05), (56.57, -24.60, 7.60)], Label Type: 0
